ID,Date,Band,Genus,Species,Sex,Age,Time,Site,Mass,Wing_length,Tail_length,Fat_code,Condition
3D6.1D59AEEB64,5/11/21,A00003124,Archilochus,BCHU,F,AHY,9:20:00,SB,3.12,45.5,NA,0,14.58333333
3D6.1D59AEEB7F,5/11/21,A00003122,Archilochus,BCHU,F,AHY,9:20:00,SB,3.36,48,NA,0,14.28571429
3D6.1D59AEEBA5,5/11/21,A00003133,Archilochus,BCHU,M,AHY,9:00:00,SB,3,43,NA,0,14.33333333
3D6.1D59AEEB98,5/11/21,A00003123,Archilochus,BCHU,F,AHY,9:00:00,SB,3.69,46,NA,0,12.46612466
3D6.1D593E1B38,5/11/21,NA,Archilochus,BCHU,F,AHY,8:45:00,SB,3.42,46,NA,0,13.4502924
3D6.1D59AEEBAO,5/11/21,A00003132,Archilochus,BCHU,M,AHY,8:45:00,SB,2.88,41,NA,0,14.23611111
3D6.1D59AEEB88,5/11/21,A00003137,Calypte,ANHU,M,HY,8:30:00,SB,4.53,50,NA,0,11.03752759
3D6.1D59AEEB47,5/11/21,NA,Archilochus,BCHU,M,AHY,8:30:00,SB,2.87,0,NA,0,0
3D6.1D59AEEB8C,5/11/21,A00003131,Archilochus,BCHU,M,AHY,8:30:00,SB,3,44,NA,0,14.66666667
3D6.1D59AEEB62,5/11/21,A00003121,Archilochus,BCHU,F,AHY,8:18:00,SB,3.38,45,NA,0,13.31360947
3D6.1D593E1CEE,5/11/21,NA,Archilochus,BCHU,F,AHY,8:13:00,SB,3.71,46,NA,0,12.39892183
3D6.1D59AEEB60,5/11/21,A00003136,Archilochus,BCHU,M,AHY,8:00:00,SB,2.85,44,NA,0,15.43859649
3D6.1D59AEEBB2,5/11/21,A00003135,Archilochus,BCHU,M,AHY,7:48:00,SB,2.67,40,NA,0,14.98127341
3D6.1D593E1C7E,5/11/21,A00003166,Archilochus,BCHU,F,AHY,7:45:00,SB,3.34,47,NA,0,14.07185629
3D6.1D59AEEB7D,5/6/21,A00003096,Archilochus,BCHU,F,AHY,12:20:00,SB,3.63,44,NA,0,12.12121212
3D6.1D593E1B01,5/6/21,NA,Archilochus,BCHU,F,AHY,12:20:00,SB,3.46,45,NA,0,13.00578035
3D6.1D59AEEB90,5/6/21,A00003110,Archilochus,BCHU,M,AHY,12:00:00,SB,2.66,44,NA,0,16.54135338
3D6.1D59AEEBA4,5/6/21,A00003109,Archilochus,BCHU,M,AHY,12:00:00,SB,2.93,43,NA,0,14.67576792
3D6.1D59AEEB9E,5/6/21,A00003098,Archilochus,BCHU,F,AHY,12:00:00,SB,4,45,NA,0,11.25
3D6.1D59AEEB79,5/6/21,A00003097,Archilochus,BCHU,F,AHY,12:00:00,SB,3.47,45,NA,0,12.96829971
3D6.1D59AEEB9C,5/6/21,A00003092,Calypte,ANHU,F,HY,11:43:00,SB,3.95,51,NA,0,12.91139241
3D6.1D59AEEBAD,5/6/21,A00003111,Archilochus,BCHU,M,AHY,11:42:00,SB,2.67,0,NA,0,0
3d6.1d59aeebaa,5/6/21,A00003112,Archilochus,BCHU,M,AHY,11:30:00,SB,2.93,43,NA,0,14.67576792
3D6.1D59AEEB7E,5/6/21,A00003099,Archilochus,BCHU,F,AHY,11:30:00,SB,3.38,45,NA,0,13.31360947
3D6.1D59AEEB2C,5/6/21,NA,Calypte,ANHU,M,HY,11:20:00,SB,4.48,0,NA,NA,0
3D6.1D59AEEB8A,5/6/21,A00003113,Archilochus,BCHU,M,AHY,11:10:00,SB,2.72,42,NA,0,15.44117647
3D6.1D593E1AA2,5/6/21,NA,Archilochus,BCHU,F,AHY,11:10:00,SB,3.4,46,NA,0,13.52941176
3D6.1D593E1AA2,5/6/21,NA,Archilochus,BCHU,F,AHY,11:10:00,SB,3.4,46,NA,0,13.52941176
3D6.1D593E1AA2,5/6/21,NA,Archilochus,BCHU,F,AHY,11:10:00,SB,3.4,46,NA,0,13.52941176
3D6.1D59AEEB97,5/6/21,A00003093,Calypte,ANHU,F,HY,11:00:00,SB,4.72,52,NA,0,11.01694915
3D6.1D59AEEBB0,5/6/21,A00003100,Archilochus,BCHU,F,AHY,10:55:00,SB,3.32,46,NA,0,13.85542169
3D6.1D59AEEBA2,5/6/21,A00003102,Archilochus,BCHU,F,AHY,10:40:00,SB,3.85,46,NA,0,11.94805195
3D6.1D59AEEBB3,5/6/21,A00003101,Archilochus,BCHU,F,AHY,10:40:00,SB,3.42,46,NA,0,13.4502924
3D6.1D59AEEB76,5/6/21,A00003115,Archilochus,BCHU,M,AHY,10:28:00,SB,2.82,42,NA,0,14.89361702
3D6.1D59AEEBA6,5/6/21,A00003114,Archilochus,BCHU,M,AHY,10:28:00,SB,3.15,43,NA,0,13.65079365
3D6.1D59AEEB70,5/6/21,A00003103,Archilochus,BCHU,F,AHY,9:45:00,SB,3.59,46,NA,0,12.81337047
3D6.1D59AEEB82,5/6/21,A00003094,Calypte,ANHU,F,HY,9:45:00,SB,3.92,50,NA,0,12.75510204
3D6.1D59AEEB99,5/6/21,A00003104,Archilochus,BCHU,F,AHY,9:42:00,SB,3.46,46,NA,0,13.29479769
3D6.1D59AEE55,5/6/21,A00003116,Archilochus,BCHU,M,AHY,9:40:00,SB,2.78,42,NA,0,15.10791367
3D6.1D59AEEB77,5/6/21,A00003117,Archilochus,BCHU,M,AHY,9:05:00,SB,2.74,42,NA,0,15.32846715
3D6.1D59AEEB1F,5/6/21,A00003105,Archilochus,BCHU,F,AHY,9:05:00,SB,3.19,45,NA,0,14.10658307
3D6.1D59AEEB0F,5/6/21,A00003106,Archilochus,BCHU,F,AHY,9:00:00,SB,3.08,46,NA,0,14.93506494
3D6.1D59AEEAEB,5/6/21,NA,Calypte,ANHU,M,HY,9:00:00,SB,4.35,51,NA,0,11.72413793
3D6.1D59AEEB2F,5/6/21,A00003118,Archilochus,BCHU,M,AHY,8:35:00,SB,2.74,42,NA,NA,15.32846715
3D6.1D59AEEB46,5/6/21,A00003095,Calypte,ANHU,F,HY,8:34:00,SB,4,51,NA,0,12.75
3D6.1D593E1ADF,5/6/21,NA,Archilochus,BCHU,F,AHY,8:17:00,SB,3.92,46,NA,0,11.73469388
3D6.1D59AEEB29,5/6/21,A00003107,Archilochus,BCHU,F,AHY,8:15:00,SB,NA,45,NA,0,NA
3D6.1D59AEEB07,5/6/21,A00003119,Archilochus,BCHU,M,AHY,8:03:00,SB,2.96,42,NA,0,14.18918919
3D6.1D59AEEAEE,5/6/21,A00003120,Archilochus,BCHU,M,AHY,8:00:00,SB,2.93,43,NA,0,14.67576792
3D6.1D59AEEB1E,4/27/21,NA,Archilochus,BCHU,M,AHY,12:40:00,SB,NA,0,NA,0,NA
3D6.1D59AEEB4A,4/27/21,A00003077,Archilochus,BCHU,M,AHY,12:30:00,SB,3.03,42,NA,0,13.86138614
3D6.1D59AEEB3D,4/27/21,A00003084,Archilochus,BCHU,F,AHY,12:20:00,SB,3.49,45,NA,0,12.89398281
3D6.1D59AEEB09,4/27/21,A00003083,Archilochus,BCHU,F,AHY,12:10:00,SB,3.77,47,NA,0,12.4668435
3D6.1D59AEEB48,4/27/21,A00003090,Calypte,ANHU,F,HY,12:00:00,SB,4.22,50,NA,0,11.84834123
3D6.1D59AEEB47,4/27/21,A00003075,Archilochus,BCHU,M,AHY,11:47:00,SB,3.06,0,NA,NA,0
3D6.1D59AEEB14,4/27/21,NA,Calypte,ANHU,M,AHY,11:45:00,SB,4.32,0,NA,0,0
3D6.1D59AEEB35,4/27/21,A00003076,Archilochus,BCHU,M,AHY,11:40:00,SB,3,42,NA,0,14
3D6.1D59AEEB00,4/27/21,A00003074,Archilochus,BCHU,M,AHY,11:20:00,SB,NA,42,NA,0,NA
3D6.1D59AEEB38,4/27/21,A00003073,Archilochus,BCHU,M,AHY,11:19:00,SB,3,42,NA,0,14
3D6.1D59AEEB08,4/27/21,A00003079,Archilochus,BCHU,M,AHY,10:45:00,SB,3.1,43,NA,0,13.87096774
3D6.1D59AEEB17,4/27/21,A00003091,Calypte,ANHU,F,AHY,10:35:00,SB,4.06,51,NA,0,12.56157635
3D6.1D59AEEB0C,4/27/21,A00003087,Calypte,ANHU,M,HY,10:35:00,SB,4.54,50,NA,0,11.01321586
3D6.1D593E1D22,4/27/21,NA,Archilochus,BCHU,F,AHY,10:25:00,SB,3.61,46,NA,0,12.74238227
3D6.1D59AEEAFF,4/27/21,A00003086,Calypte,ANHU,M,HY,10:09:00,SB,4.43,49,NA,0,11.06094808
