Row,ID,Year,Month,Sex,FreqA1,FreqD1,FreqD2,PropA1,PropD1,PropD2
229,X3D6.1D593E19D1,2021,4,M,27,144,795,0.02795,0.14907,0.82298
355,X3D6.1D593E19D1,2021,5,M,340,43,221,0.56291,0.07119,0.36589
506,X3D6.1D593E19D1,2021,6,M,16,9,1,0.61538,0.34615,0.03846
749,X3D6.1D593E19D1,2021,7,M,0,5,0,0,1,0
986,X3D6.1D593E19D1,2021,8,M,0,26,55,0,0.32099,0.67901
1064,X3D6.1D593E19D1,2021,9,M,0,33,0,0,1,0
1113,X3D6.1D593E19D1,2021,10,M,0,78,3,0,0.96296,0.03704
14,X3D6.1D593E19D1,2020,1,M,76,0,0,1,0,0
41,X3D6.1D593E19D1,2020,2,M,76,0,0,1,0,0
64,X3D6.1D593E19D1,2020,3,M,52,0,0,1,0,0
131,X3D6.1D593E19D1,2020,5,M,1,0,0,1,0,0
224,X3D6.1D593E19D1,2020,6,M,1,62,0,0.01587,0.98413,0
384,X3D6.1D593E19D1,2020,7,M,0,9,0,0,1,0
561,X3D6.1D593E19D1,2020,8,M,0,9,0,0,1,0
590,X3D6.1D593E19D1,2020,9,M,0,1,40,0,0.02439,0.97561
661,X3D6.1D593E19D1,2020,10,M,0,3,23,0,0.11538,0.88462
754,X3D6.1D593E19D1,2020,11,M,0,39,15,0,0.72222,0.27778
869,X3D6.1D593E19D4,2021,8,M,22,1,12,0.62857,0.02857,0.34286
1129,X3D6.1D593E19D4,2021,10,M,0,1,0,0,1,0
501,X3D6.1D593E19D4,2020,8,M,1,0,0,1,0,0
614,X3D6.1D593E19D4,2020,9,M,0,0,68,0,0,1
44,X3D6.1D593E19D4,2018,11,M,1,0,0,1,0,0
49,X3D6.1D593E19D4,2018,12,M,1,0,0,1,0,0
41,X3D6.1D593E19DB,2018,11,F,13,0,0,1,0,0
13,X3D6.1D593E19F2,2021,1,F,5,0,2,0.71429,0,0.28571
62,X3D6.1D593E19F2,2021,2,F,76,0,1159,0.06154,0,0.93846
140,X3D6.1D593E19F2,2021,3,F,144,0,517,0.21785,0,0.78215
12,X3D6.1D593E19F2,2020,1,F,362,0,0,1,0,0
39,X3D6.1D593E19F2,2020,2,F,362,0,0,1,0,0
74,X3D6.1D593E19F2,2020,3,F,11,0,0,1,0,0
111,X3D6.1D593E19F2,2020,5,F,6,0,0,1,0,0
543,X3D6.1D593E19F2,2020,8,F,0,27,0,0,1,0
622,X3D6.1D593E19F2,2020,9,F,0,0,101,0,0,1
706,X3D6.1D593E19F2,2020,10,F,0,0,22,0,0,1
724,X3D6.1D593E19F2,2020,11,F,6,5,0,0.54545,0.45455,0
8,X3D6.1D593E1A0B,2020,1,M,4361,0,0,1,0,0
35,X3D6.1D593E1A0B,2020,2,M,4361,0,0,1,0,0
55,X3D6.1D593E1A0B,2020,3,M,381,0,0,1,0,0
288,X3D6.1D593E1A0F,2021,4,M,0,3,46,0,0.06122,0.93878
439,X3D6.1D593E1A0F,2021,5,M,0,137,339,0,0.28782,0.71218
604,X3D6.1D593E1A0F,2021,6,M,0,24,168,0,0.125,0.875
740,X3D6.1D593E1A0F,2021,7,M,0,19,408,0,0.0445,0.9555
981,X3D6.1D593E1A0F,2021,8,M,0,8,609,0,0.01297,0.98703
237,X3D6.1D593E1A0F,2020,6,M,0,216,0,0,1,0
374,X3D6.1D593E1A0F,2020,7,M,0,243,0,0,1,0
533,X3D6.1D593E1A0F,2020,8,M,0,4,0,0,1,0
93,X3D6.1D593E1A24,2020,5,M,54,5,0,0.91525,0.08475,0
202,X3D6.1D593E1A24,2020,6,M,34,28,0,0.54839,0.45161,0
289,X3D6.1D593E1A24,2020,7,M,375,101,0,0.78782,0.21218,0
456,X3D6.1D593E1A24,2020,8,M,29,38,0,0.43284,0.56716,0
238,X3D6.1D593E1A29,2021,4,F,8,0,0,1,0,0
383,X3D6.1D593E1A29,2021,5,F,22,3,1083,0.01986,0.00271,0.97744
570,X3D6.1D593E1A29,2021,6,F,5,0,389,0.01269,0,0.98731
699,X3D6.1D593E1A29,2021,7,F,1,4,375,0.00263,0.01053,0.98684
960,X3D6.1D593E1A29,2021,8,F,0,2,186,0,0.01064,0.98936
118,X3D6.1D593E1A29,2020,5,F,199,6,0,0.97073,0.02927,0
181,X3D6.1D593E1A29,2020,6,F,213,27,0,0.8875,0.1125,0
309,X3D6.1D593E1A29,2020,7,F,586,0,0,1,0,0
19,X3D6.1D593E1A2B,2021,1,F,1,0,0,1,0,0
53,X3D6.1D593E1A2B,2021,2,F,63,90,468,0.10145,0.14493,0.75362
138,X3D6.1D593E1A2B,2021,3,F,151,56,335,0.2786,0.10332,0.61808
207,X3D6.1D593E1A2B,2021,4,F,309,886,3114,0.07171,0.20562,0.72267
328,X3D6.1D593E1A2B,2021,5,F,1273,706,420,0.53064,0.29429,0.17507
518,X3D6.1D593E1A2B,2021,6,F,363,1147,170,0.21607,0.68274,0.10119
685,X3D6.1D593E1A2B,2021,7,F,23,768,0,0.02908,0.97092,0
878,X3D6.1D593E1A2B,2021,8,F,11,377,20,0.02696,0.92402,0.04902
1018,X3D6.1D593E1A2B,2021,9,F,7,237,10,0.02756,0.93307,0.03937
1102,X3D6.1D593E1A2B,2021,10,F,0,218,0,0,1,0
